386216,396352,410090,424462,Lake,Florida
765547,790888,822391,834573,Lee,Florida
293955,296007,297282,296913,Leon,Florida
43059,44156,45253,46545,Levy,Florida
7804,7290,7613,7706,Liberty,Florida
17869,18099,18230,18519,Madison,Florida
401619,413716,429169,441095,Manatee,Florida
377472,385135,396437,409959,Marion,Florida
158671,160197,161987,163315,Martin,Florida
2695685,2669748,2673056,2686867,Miami-Dade,Florida
82847,82220,81618,80614,Monroe,Florida
91031,94399,97826,101501,Nassau,Florida
212085,213641,216464,218464,Okaloosa,Florida
39652,40031,40373,41427,Okeechobee,Florida
1431679,1427761,1451761,1471416,Orange,Florida
391141,403990,422543,437784,Osceola,Florida
1494282,1503435,1519867,1533801,Palm Beach,Florida
566156,585191,609141,632996,Pasco,Florida
959793,959583,961792,961596,Pinellas,Florida
730158,755598,788382,818330,Polk,Florida
73372,74095,74736,75955,Putnam,Florida
277099,293251,307072,320110,St. Johns,Florida
331441,344246,358886,373586,St. Lucie,Florida
189011,193750,198199,203162,Santa Rosa,Florida
436237,448636,462552,469013,Sarasota,Florida
471455,470857,478623,484271,Seminole,Florida
130290,134870,144767,151565,Sumter,Florida
43524,44125,45405,46130,Suwannee,Florida
21743,20807,21313,21582,Taylor,Florida
15425,15850,15514,15532,Union,Florida
555776,566368,579665,590357,Volusia,Florida
33893,34270,35169,36449,Wakulla,Florida
75941,80021,83404,86354,Walton,Florida
25320,24867,25405,25602,Washington,Florida
18376,18423,18437,18457,Appling,Georgia
8308,8348,8160,8293,Atkinson,Georgia
11112,11068,11173,11124,Bacon,Georgia
2852,2824,2792,2743,Baker,Georgia
43790,43695,43633,43396,Baldwin,Georgia
18081,18538,19342,19789,Banks,Georgia
83981,86727,89245,92792,Barrow,Georgia
109314,110936,112815,115041,Bartow,Georgia
17168,17128,17057,17128,Ben Hill,Georgia
18144,18117,18215,18570,Berrien,Georgia
157035,155980,156126,156512,Bibb,Georgia
12523,12270,12279,12465,Bleckley,Georgia
18044,18119,18210,18401,Brantley,Georgia
16272,16276,16284,16245,Brooks,Georgia
45043,46974,48218,49739,Bryan,Georgia
